id,scheme_name,scheme_type,state,department,description,eligibility,documents_required,official_website
1,PM Kisan Samman Nidhi,Central,India,Agriculture,Direct income support to farmer families with regular transfer of financial benefit at three-monthly intervals,All farmer families irrespective of landholding size. Scheduled Castes and Scheduled Tribes also eligible,Aadhaar card; Land records; Bank account details,https://pmkisan.gov.in
2,PM Fasal Bima Yojana,Central,India,Agriculture,Comprehensive risk coverage against crop failure due to natural calamities; pests; and diseases,All farmers including share croppers and tenant farmers,Aadhaar; Land possession certificate; Bank account; Crop insurance form,https://pmfby.gov.in
3,Soil Health Card Scheme,Central,India,Agriculture,Provides farmers with soil health information to help make informed decisions for improving soil fertility,All farmers owning agricultural land,Land records; Soil samples; Identification proof,https://soilhealth.dac.gov.in
4,Kisan Credit Card,Central,India,Banking,Flexible credit facility for farmers to meet agricultural and allied needs,Farmers with valid land records and good credit history,Land records; Photo ID; Address proof; Bank account details,https://www.nabard.org
5,PM Krishi Sinchai Yojana,Central,India,Irrigation,Assured irrigation facility to increase water availability for agriculture,Farmers in water-stressed areas with cultivable land,Land ownership documents; State government approval; Project proposal,https://pmksy.gov.in
6,National Food Security Mission,Central,India,Agriculture,Focused supply and distribution of subsidized food grains to ensure food security,Below Poverty Line families; Scheduled Castes and Tribes,Ration card; BPL certificate; Aadhar card,https://nfsm.gov.in
7,Rashtriya Krishi Vikas Yojana,Central,India,Agriculture,State-specific strategies to boost agricultural growth through farming innovation and technology,Registered farmers; Agricultural cooperatives; Self Help Groups,Organization registration; Land records; Project proposal; Bank account,https://www.rkvy.nic.in
8,Paramparagat Krishi Vikas Yojana,Central,India,Organic,Promote organic farming through cluster-based approaches for sustainable agriculture,Interested farmers willing to adopt organic farming; minimum group size of 50 farmers,Farmer ID; Land records; Training certificates; Bank account,https://pkvy.nic.in
9,National Mission on Sustainable Agriculture,Central,India,Agriculture,Support sustainable agricultural practices; water conservation; and soil health improvement,Farmers practicing sustainable methods; resource-poor farmers; Marginal farmers,Farm records; Crop history; Sustainability certificate; Bank details,https://nmsa.dac.gov.in
10,Sub Mission on Agricultural Mechanisation,Central,India,Agriculture,Provides subsidized agricultural machinery and equipment to farmers for modernization,Small and marginal farmers; Farmers with inadequate access to mechanization,Aadhaar; Land records; Bank account; Machinery quotation,https://www.smam.gov.in
11,National Horticulture Mission,Central,India,Horticulture,Promotes sustainable horticulture through technology upgradation and value chain development,Farmers engaged in horticulture; Horticulture organizations; SHGs,Land documents; Horticulture plan; Bank account; Training certificates,https://www.nhm.gov.in
12,e-NAM National Agriculture Market,Central,India,Agriculture,Online platform for agricultural commodity trading to ensure fair prices and reduce intermediaries,Registered farmers; Agricultural producers; Traders,Aadhaar; Bank account; Agricultural produce certificate; Trading license,https://enam.gov.in
13,PM Matsya Sampada Yojana,Central,India,Fisheries,Comprehensive scheme for fisheries development with focus on modernization and export promotion,Fishing communities; Fish farmers; Fishery entrepreneurs,Aadhaar; Caste certificate; Community certificate; Bank account; Fishing license,https://pmmsy.dac.gov.in
14,Blue Revolution,Central,India,Fisheries,Promotes integrated fish farming and aquaculture for livelihood and food security,Farmers willing to adopt fish farming; Landholding farmers; Entrepreneurs,Land records; Water source proof; Bank account; Training completion certificate,https://fisheries.gov.in
15,Dairy Entrepreneurship Development Scheme,Central,India,Dairy,Supports setting up dairy units through capital subsidy and technical guidance,Dairy farmers; Entrepreneurs with basic knowledge of dairy management,Bank account; Land/building documents; Training certificate; Identification proof,https://www.nddb.org
16,National Livestock Mission,Central,India,Animal Husbandry,Promotes sustainable livestock farming for income generation and nutritional security,Livestock farmers; Landless laborers; Women farmers; Rural youth,Aadhaar; Bank account; Experience certificate; Land records or lease deed,https://www.dahd.gov.in
