id,scheme_name,scheme_type,state,department
1,PM Kisan Samman Nidhi,Central,India,Agriculture
2,PM Fasal Bima Yojana,Central,India,Agriculture
3,Soil Health Card Scheme,Central,India,Agriculture
4,Kisan Credit Card,Central,India,Banking
5,PM Krishi Sinchai Yojana,Central,India,Irrigation
6,National Food Security Mission,Central,India,Agriculture
7,Rashtriya Krishi Vikas Yojana,Central,India,Agriculture
8,Paramparagat Krishi Vikas Yojana,Central,India,Organic
9,National Mission on Sustainable Agriculture,Central,India,Agriculture
10,Sub Mission on Agricultural Mechanisation,Central,India,Agriculture
11,National Horticulture Mission,Central,India,Horticulture
12,e-NAM National Agriculture Market,Central,India,Agriculture
13,PM Matsya Sampada Yojana,Central,India,Fisheries
14,Blue Revolution,Central,India,Fisheries
15,Dairy Entrepreneurship Development Scheme,Central,India,Dairy
16,National Livestock Mission,Central,India,Animal Husbandry
17,Interest Subvention Scheme,Central,India,Banking
18,PM Kisan Maandhan Yojana,Central,India,Agriculture
19,Mission Organic Value Chain Development,Central,India,Organic
20,Agriculture Infrastructure Fund,Central,India,Agriculture

21,YSR Rythu Bharosa,State,Andhra Pradesh,Agriculture
22,YSR Crop Insurance Scheme,State,Andhra Pradesh,Agriculture
23,YSR Zero Interest Crop Loan,State,Andhra Pradesh,Agriculture
24,Jagananna Bhoomi Rakshana Scheme,State,Andhra Pradesh,Land
25,AP Farm Mechanisation Scheme,State,Andhra Pradesh,Agriculture

26,Rythu Bandhu Scheme,State,Telangana,Agriculture
27,Rythu Bima Scheme,State,Telangana,Agriculture
28,Telangana Crop Loan Waiver,State,Telangana,Agriculture
29,Telangana Farm Mechanisation Scheme,State,Telangana,Agriculture
30,Telangana Seed Subsidy Scheme,State,Telangana,Agriculture

31,Krishi Bhagya Scheme,State,Karnataka,Agriculture
32,Raitha Siri Scheme,State,Karnataka,Agriculture
33,Raitha Vidya Nidhi,State,Karnataka,Education
34,Karnataka Millet Mission,State,Karnataka,Agriculture
35,Karnataka Organic Farming Policy,State,Karnataka,Agriculture

36,Baliraja Chetna Scheme,State,Maharashtra,Agriculture
37,Mahatma Jyotiba Phule Shetkari Karj Mukti Yojana,State,Maharashtra,Agriculture
38,Magel Tyala Shettale Scheme,State,Maharashtra,Irrigation
39,Chief Minister Solar Pump Scheme,State,Maharashtra,Energy
40,Maharashtra Farm Mechanisation Scheme,State,Maharashtra,Agriculture

41,Kisan Suryoday Yojana,State,Gujarat,Energy
42,Mukhyamantri Bagayat Yojana,State,Gujarat,Horticulture
43,Gujarat Soil Health Card Program,State,Gujarat,Agriculture
44,Gujarat Micro Irrigation Scheme,State,Gujarat,Irrigation
45,Gujarat Farm Mechanisation Scheme,State,Gujarat,Agriculture

46,Amma Farm Mechanisation Scheme,State,Tamil Nadu,Agriculture
47,Uzhavar Sandhai Scheme,State,Tamil Nadu,Agriculture
48,Tamil Nadu Crop Insurance Scheme,State,Tamil Nadu,Agriculture
49,CM Solar Pump Scheme TN,State,Tamil Nadu,Energy
50,Tamil Nadu Seed Subsidy Scheme,State,Tamil Nadu,Agriculture

51,Crop Diversification Programme,State,Punjab,Agriculture
52,Pani Bachao Paisa Kamao,State,Punjab,Irrigation
53,Punjab Farm Mechanisation Scheme,State,Punjab,Agriculture
54,Punjab Organic Farming Scheme,State,Punjab,Agriculture
55,Punjab Seed Distribution Scheme,State,Punjab,Agriculture

56,Mukhyamantri Krishak Saathi Yojana,State,Rajasthan,Agriculture
57,Rajasthan Farm Loan Waiver,State,Rajasthan,Agriculture
58,Rajasthan Solar Pump Scheme,State,Rajasthan,Energy
59,Rajasthan Drip Irrigation Subsidy,State,Rajasthan,Irrigation
60,Rajasthan Seed Subsidy Scheme,State,Rajasthan,Agriculture

61,Mukhyamantri Krishak Durghatna Kalyan,State,Uttar Pradesh,Agriculture
62,UP Crop Loan Waiver Scheme,State,Uttar Pradesh,Agriculture
63,UP Solar Pump Scheme,State,Uttar Pradesh,Energy
64,UP Irrigation Subsidy Scheme,State,Uttar Pradesh,Irrigation
65,UP Seed Distribution Scheme,State,Uttar Pradesh,Agriculture

66,Bhavantar Bhugtan Yojana,State,Madhya Pradesh,Agriculture
67,MP Solar Pump Scheme,State,Madhya Pradesh,Energy
68,MP Farm Mechanisation Scheme,State,Madhya Pradesh,Agriculture
